status;title;url;programme;appel;annee;etat;duree;subvention;financeurs;disciplines;path
rejected;projet Pilote : conditions d’Efficacité, Transférabilité et mise à l’échelle d’Interventions pour le repérage Précoce et la Prévention de l’Obésité chez les nourrissons dès la sortie de la maternité;https://iresp.net/projets_finances/projet-pilote-conditions-defficacite-transferabilite-et-mise-a-lechelle-dinterventions-pour-le-reperage-precoce-et-la-prevention-de-lobesite-chez-les-nourrissons/;Services, interventions et politiques favorables à la santé;Recherche en santé publique;2020;Clos;18 mois;99 816,00 €;DGS;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\206_2020_projet_pilote_conditions_d_efficacite_transferabilite_et_mise_a_l_echelle_d_interventions_pour_le_reperage_precoce_et_la.txt
rejected;Projet pilote de pipes à crack expérimentales (PROPICE);https://iresp.net/projets_finances/projet-pilote-de-pipes-a-crack-experimentales-propice/;Addictions;Lutte contre les addictions aux substances psychoactives;2019;Clos;12 mois;100 000;Fonds de Lutte Contre les Addictions;"Réduction des risques ; Infectiologie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\207_2019_projet_pilote_de_pipes_a_crack_experimentales_propice.txt
rejected;Promotion de la prévention de l’usage des écrans dans les établissements scolaires par l’amélioration de la formation du service sanitaire des étudiants en santé – Franck PIZON;https://iresp.net/projets_finances/promotion-de-la-prevention-de-lusage-des-ecrans-dans-les-etablissements-scolaires-par-lamelioration-de-la-formation-du-service-sanitaire-des-etudiants-en-sante/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2021;Clos;12 mois;100 000,00 €;MILDECA;l’Education/ Sciences Humaines et Sociales/ Epidémiologie/ Recherche Mixte (Qualitative/Quantitative);C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\208_2021_promotion_de_la_prevention_de_l_usage_des_ecrans_dans_les_etablissements_scolaires_par_l_amelioration_de_la_formation_du.txt
rejected;Psilocybine dans le trouble lié à l’usage de l’alcool avec dépression comorbide : une étude pilote;https://iresp.net/projets_finances/psilocybine-dans-le-trouble-lie-a-lusage-de-lalcool-avec-depression-comorbide-une-etude-pilote/;Addictions;Lutter contre les usages et les addictions aux substances psychoactives;2022;En cours;24 mois;98 014;Fonds de Lutte Contre les Addictions;Psychiatrie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\209_2022_psilocybine_dans_le_trouble_lie_a_l_usage_de_l_alcool_avec_depression_comorbide_une_etude_pilote.txt
rejected;PSYCHEDELIK : une enquête auprès des consommateurs réguliers de psychédéliques;https://iresp.net/projets_finances/psychedelik-une-enquete-aupres-des-consommateurs-reguliers-de-psychedeliques/;Addictions;Lutter contre les usages et les addictions aux substances psychoactives;2022;En cours;12 mois;42 593;Fonds de Lutte Contre les Addictions;Santé Publique, Réduction des Risques;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\210_2022_psychedelik_une_enquete_aupres_des_consommateurs_reguliers_de_psychedeliques.txt
rejected;Psychiatrie et libertés individuelles : étude d’établissements caractérisés par un moindre recours à la coercition – Sébastien SAETTA;https://iresp.net/projets_finances/psychiatrie-et-libertes-individuelles-etude-detablissements-caracterises-par-un-moindre-recours-a-la-coercition/;Services, interventions et politiques favorables à la santé;Recherche en santé publique;2020;Clos;24 mois;238 083,00 €;DGS;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\211_2020_psychiatrie_et_libertes_individuelles_etude_d_etablissements_caracterises_par_un_moindre_recours_a_la_coercition_sebasti.txt
rejected;Qualité de vie et tabagisme liée à la santé du personnel hospitalier de nuit (ALADDIN);https://iresp.net/projets_finances/qualite-de-vie-et-tabagisme-liee-a-la-sante-du-personnel-hospitalier-de-nuit-aladdin/;Addictions;Recherches pour réduire et lutter contre le tabagisme en Santé Publique;2019;Clos;36 mois;;Fonds de Lutte Contre le Tabagisme;Santé Publique;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\212_2019_qualite_de_vie_et_tabagisme_liee_a_la_sante_du_personnel_hospitalier_de_nuit_aladdin.txt
accepted;Quand grandir devient un problème, l’identification et la qualification des difficultés infantiles;https://iresp.net/projets_finances/quand-grandir-devient-un-probleme-lidentification-et-la-qualification-des-difficultes-infantiles/;Autonomie;Dispositif Doctoral du programme Autonomie;2024;En cours;12 mois;40 064,00;CNSA;sociologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\109_2024_quand_grandir_devient_un_probleme_l_identification_et_la_qualification_des_difficultes_infantiles.txt
rejected;Raréfaction de l’offre de soins et adaptation des médecins généralistes – Bruno VENTELOU;https://iresp.net/projets_finances/rarefaction-de-loffre-de-soins-et-adaptation-des-medecins-generalistes/;Services, interventions et politiques favorables à la santé;Général - volet Recherche sur les services de santé;2018;Clos;36 mois;196 836,00 €;CNAMTS;Economie / Géographie / Santé publique;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\213_2018_rarefaction_de_l_offre_de_soins_et_adaptation_des_medecins_generalistes_bruno_ventelou.txt
rejected;RassEmbler, Développer et Diffuser des connaissances, en France, sur les Déterminants COmmerciaux de la Santé qui influencent les comportements addictifs;https://iresp.net/projets_finances/rassembler-developper-et-diffuser-des-connaissances-en-france-sur-les-determinants-commerciaux-de-la-sante-qui-influencent-les-comportements-addictifs/;Addictions;Appel à actions structurantes - Recherche sur les conduites addictives (avec ou sans substances);2024;En cours;36 mois;297 528,00;Fonds de lutte contre les addictions;Santé publique, sociologie, marketing social, socio-anthropologie, sciences politiques;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\214_2024_rassembler_developper_et_diffuser_des_connaissances_en_france_sur_les_determinants_commerciaux_de_la_sante_qui_influence.txt
