fichier;source_site;source_url_present;original_title_present;collection_date_present;matching_method
LLM_Tagged_Database\Fiches_actions_database\FicheAction3_Barlin_vf.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FicheAction3_Ostricourt_VF.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FicheAction4_Barlin_vf.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FicheAction4_Ostricourt_VF.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FicheAction5_Ostricourt_VF.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FicheAction6_Ostricourt_VF.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\FichesAction_PaysMormal_VF.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\ToujoursCitoyen_Saynete_Fiche2B.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Fiches_actions_database\ToujoursCitoyen_support_Fiche1.json;SIAGE;False;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Bien vivre et vieillir dans l'autonomie à domicile.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Contribution à la concertation Grand âge et autono.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Contributions du Conseil de lâge au rapport du Con.json;HCFEA;True;True;False;préfixe
LLM_Tagged_Database\Hcfea_database\Disposer de temps et de droits pour soccuper de se.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\La participation et la contribution économique, so.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\La situation des familles, des enfants et des pers.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Le recours des personnes âgées vulnérables aux emp.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Le rôle de la technologie dans le soutien à lauton.json;HCFEA;True;True;False;préfixe
LLM_Tagged_Database\Hcfea_database\Le soutien à l'autonomie des personnes âgées à l'h.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Les leviers dune meilleure efficience de la répons.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Lobligation alimentaire, la récupération sur succe.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Note de comparaison des coûts de prise en charge d.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Note dinformation sur le livre blanc de France Ass.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Note sur les revenus, les dépenses contraintes et .json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Note sur les revenus, les dépenses contraintes, le.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Panorama des comportements conjugaux et configurat.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Politique de lautonomie, mobilités résidentielles .json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Politiques de soutien à lautonomie des personnes â.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Pour un redressement durable de la sécurité social.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Propositions pour un plan de lutte contre lâgisme.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Retours dexpériences Covid dans le champ de l'âge.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Vieillissement de la population, personnes âgées _.json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\Hcfea_database\Éléments de guidance pour un lexique renouvelé de .json;HCFEA;True;True;False;exacte
LLM_Tagged_Database\iresp_autonomie_database\001_2024_accepter_et_resister_aux_aides_avoir_75_ans_et_plus_en_ville_et_a_la_campagne.json;IReSP Autonomie;True;True;False;exacte
LLM_Tagged_Database\iresp_autonomie_database\002_2021_accessibilite_et_droit_a_l_espace_public_des_aines_une_entree_par_la_marche.json;IReSP Autonomie;True;True;False;exacte
LLM_Tagged_Database\iresp_autonomie_database\003_2019_accompagnants_des_malades_diagnostiques_alzheimer.json;IReSP Autonomie;True;True;False;exacte
LLM_Tagged_Database\iresp_autonomie_database\004_2022_accompagnement_a_l_appropriation_l_autogestion_et_l_education_therapeutique_continue_concernant_la_prevention_secondaire.json;IReSP Autonomie;True;True;False;exacte
